======================================================================
TinyFold Training
======================================================================
Started: 2026-01-20 00:34:18
Script: C:\Users\costa\src\tinyfold\scripts\train.py
Command: python scripts/train.py --model af3_style --noise_type gaussian --n_steps 100000 --n_train 5000 --n_test 500 --eval_every 5000 --output_dir outputs/af3_15M_gaussian_5K --h_dim 128 --n_layers 6 --batch_size 32 --grad_accum 4 --lr 1e-3 --min_atoms 320 --max_atoms 1000

Configuration:
  output_dir:  outputs/af3_15M_gaussian_5K
  n_train:     5000
  n_test:      500
  batch_size:  32
  grad_accum:  4
  eff_batch:   128
  n_steps:     100000
  eval_every:  5000
  lr:          0.001
  model:       af3_style
  h_dim:       128
  n_layers:    6
  schedule:    linear
  noise_type:  gaussian
  noise_scale: 0.1
  T:           50

Device: cuda
  GPU: NVIDIA GeForce RTX 4070 Ti SUPER

Data split (seed=42):
  Eligible samples (320-1000 atoms): 5840
  Training: 5000 samples
  Test: 500 samples (held out, never seen during training)
  Train IDs: ['1r4p.pdb1_5', '2xf7.pdb1_5', '4hi2.pdb1_13']...
  Test IDs:  ['1dm0.pdb1_8', '2wg6.pdb2_2', '4qyb.pdb1_0']...

Preloading samples...
  Loaded 5000 train, 500 test samples
Model: af3_style
  Parameters: 14,898,179

Diffusion:
  Schedule: linear
  Noise type: gaussian

Training for 100000 steps...
======================================================================
Step 13800 | loss: 0.065672 | lr: 9.54e-04 | 8712s
Step 13900 | loss: 0.075610 | lr: 9.54e-04 | 8769s
Step 14000 | loss: 0.076968 | lr: 9.53e-04 | 8825s
Step 14100 | loss: 0.074971 | lr: 9.52e-04 | 8882s
Step 14200 | loss: 0.077997 | lr: 9.52e-04 | 8939s
Step 14300 | loss: 0.082107 | lr: 9.51e-04 | 8996s
Step 14400 | loss: 0.070806 | lr: 9.50e-04 | 9053s
Step 14500 | loss: 0.073411 | lr: 9.50e-04 | 9110s
Step 14600 | loss: 0.058882 | lr: 9.49e-04 | 9166s
Step 14700 | loss: 0.063402 | lr: 9.48e-04 | 9223s
Step 14800 | loss: 0.055138 | lr: 9.47e-04 | 9280s
Step 14900 | loss: 0.064419 | lr: 9.47e-04 | 9337s
Step 15000 | loss: 0.080802 | lr: 9.46e-04 | 9394s
         >>> Train RMSE (200): 10.7411 A | Test RMSE (500): 12.7408 A
         >>> Saved plot: outputs/af3_15M_gaussian_5K\plots\step_015000.png
         >>> New best test RMSE! Saved.
Step 15100 | loss: 0.066309 | lr: 9.45e-04 | 9857s
Step 15200 | loss: 0.056024 | lr: 9.45e-04 | 9914s
Step 15300 | loss: 0.063288 | lr: 9.44e-04 | 9971s
Step 15400 | loss: 0.064140 | lr: 9.43e-04 | 10028s
Step 15500 | loss: 0.066235 | lr: 9.42e-04 | 10085s
Step 15600 | loss: 0.067667 | lr: 9.42e-04 | 10142s
Step 15700 | loss: 0.062708 | lr: 9.41e-04 | 10199s
Step 15800 | loss: 0.056438 | lr: 9.40e-04 | 10256s
Step 15900 | loss: 0.056711 | lr: 9.40e-04 | 10313s
Step 16000 | loss: 0.055408 | lr: 9.39e-04 | 10370s
Step 16100 | loss: 0.057762 | lr: 9.38e-04 | 10426s
Step 16200 | loss: 0.058104 | lr: 9.37e-04 | 10483s
Step 16300 | loss: 0.076945 | lr: 9.37e-04 | 10540s
Step 16400 | loss: 0.058372 | lr: 9.36e-04 | 10597s
Step 16500 | loss: 0.063895 | lr: 9.35e-04 | 10654s
Step 16600 | loss: 0.063403 | lr: 9.34e-04 | 10711s
Step 16700 | loss: 0.051843 | lr: 9.33e-04 | 10768s
Step 16800 | loss: 0.058296 | lr: 9.33e-04 | 10825s
Step 16900 | loss: 0.053648 | lr: 9.32e-04 | 10882s
Step 17000 | loss: 0.055829 | lr: 9.31e-04 | 10939s
Step 17100 | loss: 0.057483 | lr: 9.30e-04 | 10996s
Step 17200 | loss: 0.060881 | lr: 9.29e-04 | 11052s
Step 17300 | loss: 0.058220 | lr: 9.29e-04 | 11109s
Step 17400 | loss: 0.053275 | lr: 9.28e-04 | 11166s
Step 17500 | loss: 0.049072 | lr: 9.27e-04 | 11223s
Step 17600 | loss: 0.053119 | lr: 9.26e-04 | 11280s
Step 17700 | loss: 0.053565 | lr: 9.25e-04 | 11337s
Step 17800 | loss: 0.045782 | lr: 9.25e-04 | 11394s
